OBJECTID,NAME,COMMPLAN,SHARED,COALIT,HORZ_VERT,MAPLABEL,ID,Shape_Length
50,HILLSIDE/NORTHWEST DISTRICT ASSN., ,Y,NWNW,,Hillside/Northwest District Assn.,50,5376.52514548701
51,LAURELHURST, ,N,SEUL,VERT,Laurelhurst,51,7666.31864723217
52,KERNS, ,N,SEUL,HORZ,Kerns,52,12968.4559317362
53,LLOYD DISTRICT COMMUNITY ASSN./SULLIVAN'S GULCH, ,Y,NECN,,Lloyd District Community Assn./Sullivan's Gulch,53,2456.88084856568
54,HILLSIDE, ,N,NWNW,HORZ,Hillside,54,9724.89236770471
55,NORTH TABOR, ,N,SEUL,HORZ,North Tabor,55,10543.4619974358
56,HAZELWOOD,OUTER SE,N,EPCO,HORZ,Hazelwood,56,28343.3834142257
57,OLD TOWN COMMUNITY ASSOCIATION, ,N,NWNW,VERT,Old Town Community Association,57,5513.48284750493
58,ARLINGTON HEIGHTS, ,N,NWNW,HORZ,Arlington Heights,58,6836.82621603767
59,GOOSE HOLLOW FOOTHILLS LEAGUE, ,N,NWNW,HORZ,Goose Hollow Foothills League,59,6777.16042979816
60,GLENFAIR, ,N,EPCO,VERT,Glenfair,60,5622.11239819359
61,ARLINGTON HEIGHTS/SYLVAN-HIGHLANDS, ,Y,NWNW,,Arlington Heights/Sylvan-Highlands,61,8061.15392332627
62,BUCKMAN COMMUNITY ASSOCIATION, ,N,SEUL,HORZ,Buckman Community Association,62,10640.7888257181
63,PORTLAND DOWNTOWN, ,N,NWNW,HORZ,Portland Downtown,63,9000.99873682962
